estu_cod_reside_mcpio,year,punt_global,INSE,MPIO,DPTO,Indice_penetracion,Zona
5001,2018,277.4046,54.898335,MEDELLIN,ANTIOQUIA,24.16,Rural
5001,2018,255.30853,53.42387,MEDELLIN,ANTIOQUIA,24.16,Urbana
5001,2019,274.57791,58.838371,MEDELLIN,ANTIOQUIA,24.629999,Rural
5001,2019,247.82697,53.291389,MEDELLIN,ANTIOQUIA,24.629999,Urbana
5001,2020,264.99042,56.335579,MEDELLIN,ANTIOQUIA,25.969999,Rural
5001,2020,249.21057,53.186897,MEDELLIN,ANTIOQUIA,25.969999,Urbana
5002,2018,223.44554,40.670498,ABEJORRAL,ANTIOQUIA,5.1399999,Rural
5002,2018,268.98038,49.783115,ABEJORRAL,ANTIOQUIA,5.1399999,Urbana
5002,2019,214.59406,41.332359,ABEJORRAL,ANTIOQUIA,5.4400001,Rural
5002,2019,255.77174,47.971565,ABEJORRAL,ANTIOQUIA,5.4400001,Urbana
5002,2020,223.21153,40.01498,ABEJORRAL,ANTIOQUIA,105.31,Rural
5002,2020,262.17346,49.474854,ABEJORRAL,ANTIOQUIA,105.31,Urbana
5004,2018,191.5,44.101738,ABRIAQUI,ANTIOQUIA,2.71,Rural
5004,2018,224.69231,43.940006,ABRIAQUI,ANTIOQUIA,2.71,Urbana
5004,2019,219.08824,45.150616,ABRIAQUI,ANTIOQUIA,3.1400001,Urbana
5004,2020,158.5,38.891537,ABRIAQUI,ANTIOQUIA,4.9400001,Rural
5004,2020,221.33333,43.302559,ABRIAQUI,ANTIOQUIA,4.9400001,Urbana
5021,2018,213,41.777706,ALEJANDRIA,ANTIOQUIA,6.9099998,Rural
5021,2018,265.6875,48.337616,ALEJANDRIA,ANTIOQUIA,6.9099998,Urbana
5021,2019,208.8125,39.803391,ALEJANDRIA,ANTIOQUIA,7,Rural
5021,2019,239.8421,48.089844,ALEJANDRIA,ANTIOQUIA,7,Urbana
5021,2020,219.21428,40.337532,ALEJANDRIA,ANTIOQUIA,5.6599998,Rural
5021,2020,233.33333,49.879375,ALEJANDRIA,ANTIOQUIA,5.6599998,Urbana
5030,2018,216.41463,43.94257,AMAGA,ANTIOQUIA,9.46,Rural
5030,2018,238.59921,48.909431,AMAGA,ANTIOQUIA,9.46,Urbana
5030,2019,207.72093,44.937237,AMAGA,ANTIOQUIA,10.5,Rural
5030,2019,231.37143,49.1026,AMAGA,ANTIOQUIA,10.5,Urbana
